Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price,Cluster
1,1360,5,4,3,1970,Downtown,Excellent,No,149919,-1
2,4272,5,4,3,1958,Downtown,Excellent,No,424998,-1
3,3592,2,2,3,1938,Downtown,Good,No,266746,-1
4,966,4,2,2,1902,Suburban,Fair,Yes,244020,-1
5,4926,1,4,2,1975,Downtown,Fair,Yes,636056,-1
6,3944,1,2,1,1906,Urban,Poor,No,93262,-1
7,3671,1,1,2,1948,Rural,Poor,Yes,448722,-1
8,3419,2,4,1,1925,Suburban,Good,Yes,594893,-1
9,630,2,2,1,1932,Rural,Poor,Yes,652878,-1
10,2185,3,3,1,2000,Downtown,Poor,No,340375,-1
11,1269,1,4,2,1947,Suburban,Poor,Yes,653685,-1
12,2891,4,4,3,1978,Urban,Excellent,Yes,127123,-1
13,2933,4,3,2,1901,Downtown,Poor,No,849947,-1
14,1684,1,1,1,2004,Rural,Good,No,399355,-1
15,3885,1,3,1,1970,Urban,Fair,Yes,481838,-1
16,4617,1,4,2,1931,Downtown,Poor,No,853032,-1
17,3404,2,1,1,1903,Urban,Fair,Yes,208964,-1
18,974,2,2,1,1919,Downtown,Poor,Yes,905742,-1
19,1582,2,2,2,2013,Suburban,Good,No,989305,-1
20,3058,5,2,2,2016,Downtown,Excellent,No,218767,-1
21,2547,4,4,2,1935,Suburban,Good,Yes,996357,-1
22,3247,4,3,1,1931,Downtown,Excellent,No,709789,-1
23,1475,3,1,1,1927,Downtown,Poor,No,709966,-1
24,2306,2,2,3,1976,Rural,Poor,Yes,447694,-1
25,689,5,1,3,1900,Urban,Excellent,Yes,688668,-1
26,3234,5,4,2,1959,Urban,Good,Yes,527032,-1
27,3505,4,2,3,1955,Urban,Good,Yes,745494,-1
28,2399,2,4,1,1934,Downtown,Excellent,Yes,513179,-1
29,1767,3,3,3,2011,Downtown,Poor,Yes,948212,-1
30,2028,2,4,1,1929,Downtown,Excellent,No,206547,-1
31,3702,1,4,2,1953,Suburban,Poor,No,902609,-1
32,4056,2,3,2,1935,Suburban,Excellent,Yes,727090,-1
33,4390,1,1,1,2020,Rural,Poor,No,202185,-1
34,1146,1,3,3,1954,Downtown,Excellent,No,725371,-1
35,3388,3,3,2,1988,Urban,Fair,Yes,105746,-1
36,2935,4,4,2,1979,Urban,Poor,No,959507,-1
37,1100,2,1,3,1957,Rural,Good,No,748213,-1
38,2863,1,2,3,1982,Urban,Excellent,Yes,921627,-1
39,2561,2,3,1,1964,Rural,Good,No,873250,-1
40,741,4,1,3,1968,Downtown,Excellent,No,218393,-1
41,2541,4,3,3,1950,Urban,Good,Yes,333453,-1
42,3324,5,3,3,1921,Downtown,Good,No,986192,-1
43,3112,4,3,1,1987,Suburban,Excellent,No,340320,-1
44,1863,3,3,1,2006,Urban,Excellent,No,643167,-1
45,1978,1,4,2,2008,Suburban,Good,Yes,641880,-1
46,3056,5,1,1,2015,Urban,Good,Yes,396872,-1
47,1275,3,1,2,2000,Downtown,Good,No,270084,-1
48,4514,2,1,3,1952,Rural,Poor,No,976920,-1
49,534,1,3,2,1999,Downtown,Poor,Yes,771782,-1
50,3652,4,4,2,1935,Downtown,Fair,Yes,845016,-1
51,2455,1,3,3,1967,Downtown,Poor,No,698843,-1
52,2085,2,3,2,1935,Urban,Poor,Yes,405446,-1
53,4443,5,1,1,1951,Rural,Excellent,No,958840,-1
54,3573,5,3,1,1952,Suburban,Fair,No,593118,-1
55,1521,5,2,1,1981,Downtown,Fair,Yes,266897,-1
56,3961,4,3,1,1949,Urban,Poor,Yes,826522,-1
57,3113,3,2,2,1979,Suburban,Excellent,No,913498,-1
58,4343,3,3,2,1940,Downtown,Excellent,No,840023,-1
59,2000,1,4,3,1917,Suburban,Fair,Yes,143878,-1
60,661,4,4,2,1921,Downtown,Excellent,No,175407,-1
61,4797,5,1,2,1965,Suburban,Good,Yes,691157,-1
62,2481,5,3,2,1920,Suburban,Poor,Yes,307716,-1
63,1495,2,2,3,1999,Rural,Good,Yes,857827,-1
64,3842,2,2,1,1943,Rural,Fair,Yes,66738,-1
65,4298,5,3,2,2002,Downtown,Fair,Yes,183703,-1
66,1775,5,2,3,1946,Urban,Excellent,No,723265,-1
67,1516,4,4,3,1938,Rural,Excellent,Yes,593344,-1
68,837,3,2,3,1928,Suburban,Fair,Yes,815034,-1
69,1378,2,1,1,1953,Rural,Fair,Yes,560241,-1
70,1576,3,4,2,1989,Rural,Good,Yes,433800,-1
71,4493,4,4,3,1984,Downtown,Good,Yes,689604,-1
72,879,5,4,1,1916,Rural,Excellent,Yes,740807,-1
73,992,3,3,3,1979,Rural,Good,Yes,628706,-1
74,2562,5,3,3,1959,Suburban,Excellent,No,873622,-1
75,4384,5,4,3,1930,Rural,Excellent,No,76014,-1
76,564,1,3,3,2014,Suburban,Poor,No,778359,-1
77,3068,3,2,3,1972,Rural,Excellent,No,813277,-1
78,2527,3,3,1,1994,Rural,Good,Yes,231350,-1
79,3195,5,3,2,1977,Urban,Fair,No,961995,-1
80,1995,4,4,2,1948,Rural,Fair,Yes,838212,-1
81,891,1,1,2,2000,Suburban,Good,No,534859,-1
82,4974,5,1,2,1901,Suburban,Fair,No,764618,-1
83,4061,2,1,1,2015,Downtown,Excellent,Yes,540339,-1
84,2778,2,2,1,1947,Downtown,Fair,Yes,92192,-1
85,3599,1,3,1,2009,Urban,Good,No,941307,-1
86,700,4,1,3,1913,Suburban,Fair,No,411273,-1
87,3604,5,4,3,1958,Suburban,Excellent,No,93923,-1
88,2954,3,1,3,1996,Suburban,Excellent,No,663484,-1
89,4145,1,1,2,1998,Urban,Good,Yes,576683,-1
90,1304,4,3,3,1957,Suburban,Good,No,414593,-1
91,3231,3,3,2,2002,Downtown,Good,No,433891,-1
92,3273,2,3,3,1957,Urban,Poor,No,802744,-1
93,2070,2,2,2,2010,Downtown,Poor,No,458995,-1
94,3190,3,2,3,1950,Downtown,Excellent,No,645316,-1
95,4340,1,1,3,1983,Urban,Poor,Yes,997226,-1
96,1528,2,3,1,1901,Rural,Poor,Yes,450327,-1
97,1002,5,1,3,2014,Rural,Fair,Yes,816751,-1
98,4993,3,4,3,1940,Downtown,Poor,Yes,715344,-1
99,1370,3,4,1,1982,Rural,Fair,Yes,929608,-1
100,4988,2,3,2,2022,Suburban,Good,No,777688,-1
